"lang"
{
	"Language"		"English"
		"DOTA_Tooltip_Ability_soul_guardian_holy_rage_attack_speed"					"ATTACK SPEED:"

		"DOTA_Tooltip_modifier_soul_guardian_holy_rage"								"Holy Rage"
		"DOTA_Tooltip_modifier_soul_guardian_holy_rage_Description"					"Attack speed and status resist is increased. Need to deal %dMODIFIER_PROPERTY_TOOLTIP% damage to purge that effect."

        "DOTA_Tooltip_ability_abyss_warrior_death_link"								"Death Link"
		"DOTA_Tooltip_ability_abyss_warrior_death_link_Description"					"Link target and another near target with connection that share incoming damage."
		"DOTA_Tooltip_ability_abyss_warrior_death_link_link_radius"					"LINK RADIUS:"
		"DOTA_Tooltip_ability_abyss_warrior_death_link_link_duration"				"DURATION:"
		"DOTA_Tooltip_ability_abyss_warrior_death_link_damage_pct"					"%DAMAGE SHARE:"

		"DOTA_Tooltip_modifier_abyss_warrior_death_link"							"Death link"
		"DOTA_Tooltip_modifier_abyss_warrior_death_link_Description"				"Damage is shared."

		"DOTA_Tooltip_ability_abyss_warrior_domination"								"Domnation"
		"DOTA_Tooltip_ability_abyss_warrior_domination_Description"					"Pull unit target and kill if unit health is less than threshold and applies silence and disarm otherwise. Притягивает к себе цель, и если ее здоровье меньше порога - убивает ее. В случае если цель останется в живых, на нее наложится безмолвие и обезоруживание."
		"DOTA_Tooltip_ability_abyss_warrior_domination_pull_speed"					"PULL SPEED:"
		"DOTA_Tooltip_ability_abyss_warrior_domination_kill_limit_pct"				"%KILL THRESHOLD:"
		"DOTA_Tooltip_ability_abyss_warrior_domination_disable_duration" 			"DEBUFF DURATION:"

		"DOTA_Tooltip_modifier_abyss_warrior_domination"							"Domnation pull"
		"DOTA_Tooltip_modifier_abyss_warrior_domination_debuff"						"Domnation debuff"

		"DOTA_Tooltip_ability_abyss_warrior_charged_attack"							"Charged Attack"
		"DOTA_Tooltip_ability_abyss_warrior_charged_attack_Description"				"Every few seconds Abyss Warrior charges him attack that deal additional damage and stun any nearby unit around target. For every stunned unit Abyss Warrior gets one spell block effect."
		"DOTA_Tooltip_ability_abyss_warrior_charged_attack_damage"					"ADDITIONAL DAMAGE::"
		"DOTA_Tooltip_ability_abyss_warrior_charged_attack_stun_duration"			"STUN DURATION:"
		"DOTA_Tooltip_ability_abyss_warrior_charged_attack_radius"					"STUN AOE:"
		"DOTA_Tooltip_ability_abyss_warrior_charged_attack_spellblock_duration" 	"SPELLBLOCK DURATION:"
		"DOTA_Tooltip_modifier_abyss_warrior_charged_attack_stun"					"Charged Attack Stun"
		"DOTA_Tooltip_modifier_abyss_warrior_charged_attack_linken"					"Charged Attack Spellblock"

		"DOTA_Tooltip_ability_abyss_warrior_fallen_hero"							"Fallen Hero"
		"DOTA_Tooltip_ability_abyss_warrior_fallen_hero_Description"				"Purges all debufs from Abyss Warrior every few seconds."

		"DOTA_Tooltip_ability_abyss_warrior_immortal"								"Immortal"
		"DOTA_Tooltip_ability_abyss_warrior_immortal_Description"					"For every lost %hp_loss_pct%%  health Abyss Warrior gets additional attack speed and health regeneration."
		"DOTA_Tooltip_ability_abyss_warrior_immortal_attack_speed"					"BONUS ATTACK SPEED::"
		"DOTA_Tooltip_ability_abyss_warrior_immortal_hp_reg"						"%BONUS HEALTH REGEN:"

		"DOTA_Tooltip_ability_abyss_warrior_ethereal_charge"						"Ethernal Charge"
		"DOTA_Tooltip_ability_abyss_warrior_ethereal_charge_Description"			"On activation Abyss Warrior starts abosrb all incoming damage and fast regenerate. At duration end Abyss Warrior heal himself for all taken damage and applies microstun for every around unit."
		"DOTA_Tooltip_ability_abyss_warrior_ethereal_charge_hp_regen_pct"			"%HEALTH REGEN:"
		"DOTA_Tooltip_ability_abyss_warrior_ethereal_charge_active_duration"		"EFFECT DURATION:"
		"DOTA_Tooltip_ability_abyss_warrior_ethereal_charge_stun_aoe"				"STUN AOE:"
		"DOTA_Tooltip_ability_abyss_warrior_ethereal_charge_stun_duration"			"STUN DURATION:"
		"DOTA_Tooltip_modifier_abyss_warrior_ethereal_charge"						"Ethernal Charge"
		"DOTA_Tooltip_modifier_abyss_warrior_ethereal_charge_stun"					"Ethernal Charge Stun"
        
        "npc_aa_keymaster_radiant"											"Keymaster"
        "npc_aa_keymaster_dire"												"Keymaster"
        "on_boss_die_keymaster"												"<font color='#58ACFA'>Keymaster</font> was killed."

        "DOTA_Tooltip_Ability_keymaster_howl"								"Master Howl"
		"DOTA_Tooltip_Ability_keymaster_howl_Description"					"Stuns and silences around enemies."
		"DOTA_Tooltip_Ability_keymaster_howl_abilitycastrange"				"RADIUS:"
		"DOTA_Tooltip_Ability_keymaster_howl_stun_duration"					"STUN DURATION:"
		"DOTA_Tooltip_Ability_keymaster_howl_silence_duration"				"SILENCE DURATION:"

		"DOTA_Tooltip_modifier_keymaster_howl_silence"						"Master Howl Silence"
		"DOTA_Tooltip_modifier_keymaster_howl_stun"							"Master Howl Stun"

		"DOTA_Tooltip_Ability_keymaster_bite"								"Master Bite"
		"DOTA_Tooltip_Ability_keymaster_bite_Description"					"Bite selected target, dealing massive damage, and killing unit when him health less than thresshold. Decreasing target armor and outcoming damage."
		"DOTA_Tooltip_Ability_keymaster_bite_damage"						"DAMAGE:"
		"DOTA_Tooltip_Ability_keymaster_bite_kill_limit_pct"				"%DAMAGE THRESSHOLD:"
		"DOTA_Tooltip_Ability_keymaster_bite_disarmor"						"ARMOR DECREASE:"
		"DOTA_Tooltip_Ability_keymaster_bite_damage_reduction"				"%DAMAGE REDUCING:"
		"DOTA_Tooltip_Ability_keymaster_bite_debuff_duration"				"DEBUFF DURATION:"

		"DOTA_Tooltip_modifier_keymaster_bite"								"Master Wound"

		"DOTA_Tooltip_Ability_keymaster_shadow_support"						"Master in Shadows"
		"DOTA_Tooltip_Ability_keymaster_shadow_support_Description"			"Keymaster is returning incoming damage as pure."
		"DOTA_Tooltip_Ability_keymaster_shadow_support_return_damage"		"%DAMAGE RETURN:"
		"DOTA_Tooltip_Ability_keymaster_shadow_support_duration"			"DURATION:"

		"DOTA_Tooltip_modifier_keymaster_shadow_support"					"Master damage return"

		"DOTA_Tooltip_Ability_keymaster_damned_souls"						"Master Damned Souls"
		"DOTA_Tooltip_Ability_keymaster_damned_souls_Description"			"After cast Keymaster starts launch energy projectiles into nearby enemy that deal damage and decreasing target attack speed."
		"DOTA_Tooltip_Ability_keymaster_damned_souls_abilitycastrange"		"RADIUS:"
		"DOTA_Tooltip_Ability_keymaster_damned_souls_interval"				"PROJECTILE INTERVAL:"
		"DOTA_Tooltip_Ability_keymaster_damned_souls_soul_count"			"PROJECTILE COUNT:"
		"DOTA_Tooltip_Ability_keymaster_damned_souls_projectile_speed"		"PROJECTILE SPEED:"
		"DOTA_Tooltip_Ability_keymaster_damned_souls_damage"				"DAMAGE:"
		"DOTA_Tooltip_Ability_keymaster_damned_souls_damage_from_lost_hp"	"DAMAGE FROM MISSING HEALTH:"
		"DOTA_Tooltip_Ability_keymaster_damned_souls_attack_speed_debuff"	"ATTACK SPEED SLOW:"
		"DOTA_Tooltip_Ability_keymaster_damned_souls_debuff_duration"		"DEBUFF DURATION:"

		"DOTA_Tooltip_modifier_keymaster_damned_souls"						"Master Damned Souls"
		"DOTA_Tooltip_modifier_keymaster_damned_souls_debuff"				"Masted Damned Souls Debuff"

		"DOTA_Tooltip_Ability_keymaster_interception"						"Master Interception"
		"DOTA_Tooltip_Ability_keymaster_interception_Description"			"Keymaster starts regenerate. Regenerations is decreased by another heroes around Keymaster."
		"DOTA_Tooltip_Ability_keymaster_interception_abilitycastrange"		"RADIUS:"
		"DOTA_Tooltip_Ability_keymaster_interception_duration"				"DURATION:"
		"DOTA_Tooltip_Ability_keymaster_interception_hp_regen_pct"			"%HP REGENERATION:"
		"DOTA_Tooltip_Ability_keymaster_interception_hp_regen_decrease"		"%REGENERATION DECREASE PER HERO:"

		"DOTA_Tooltip_modifier_keymaster_interception"						"Master Interception"

		"DOTA_Tooltip_Ability_keymaster_dodge_mastery"						"Dodge Mastery"
		"DOTA_Tooltip_Ability_keymaster_dodge_mastery_Description"			"Boss ignores all damage that was recived from a far range.\Boss increase himself attack speed for every missing health pct."
		"DOTA_Tooltip_Ability_keymaster_dodge_mastery_abilitycastrange"		"ALLOW DAMAGE RADIUS:"
		"DOTA_Tooltip_Ability_keymaster_dodge_mastery_aspeed_per_hp_pct"	"ATTACK SPEED FOR MISSING HEALTH PERCENT:"

        "DOTA_Tooltip_ability_possessed_magma_trails"						"Magma Trails"
		"DOTA_Tooltip_ability_possessed_magma_trails_Description"			"Possessed Demon summons hellfire pilliars that deals massive damage after small delay."
		"DOTA_Tooltip_ability_possessed_magma_trails_abilitycastrange"		"RADIUS:"
		"DOTA_Tooltip_ability_possessed_magma_trails_damage"				"DAMAGE:"
		"DOTA_Tooltip_ability_possessed_magma_trails_damage_from_attack"	"%DAMAGE FROM ATTACK:"
		"DOTA_Tooltip_ability_possessed_magma_trails_trail_prepare"			"PILLIAR DELAY:"
		"DOTA_Tooltip_ability_possessed_magma_trails_trail_radius"			"PILLIAR RADIUS:"

		"DOTA_Tooltip_ability_possessed_fallen_sword"						"Sword of the Fallen"
		"DOTA_Tooltip_ability_possessed_fallen_sword_Description"			"Possessed Demon deals some damage around attacked target.\nWith chance %chance%%  Possessed Demon deals additional damage with him attack and kill target if target health will be lower then %kill_thresshold%% or applies debuff that decreasing outcoming damage for %damage_reduction%%  for %debuff_duration%  seconds if target was alive."
		"DOTA_Tooltip_ability_possessed_fallen_sword_cleave"				"%CLEAVE DAMAGE:"
		"DOTA_Tooltip_ability_possessed_fallen_sword_cleave_radius"			"CLEAVE RADIUS:"
		"DOTA_Tooltip_modifier_possessed_fallen_sword_debuff"				"Sword of the Fallen debuff"

		"DOTA_Tooltip_ability_possessed_rebel"								"Rebel"
		"DOTA_Tooltip_ability_possessed_rebel_Description"					"Every attack decrease enemy armor for %disarmor%.\nFor every missed health percent Possessed Demon gets %status_resist_per_hp%%  status resistance."
		"DOTA_Tooltip_modifier_possessed_rebel_debuff"						"Rebel disarmor"


		"DOTA_Tooltip_ability_possessed_devil_stomp"						"Devil Stomp"
		"DOTA_Tooltip_ability_possessed_devil_stomp_Description"			"Possessed Demon stomps the earth, stunning around enemies for %stun_duration% seconds and deal %damage% damage."
		"DOTA_Tooltip_ability_possessed_devil_stomp_abilitycastrange"		"RADIUS:"

		"DOTA_Tooltip_modifier_possessed_devil_stomp"						"Devil Stomp Stun"

		"DOTA_Tooltip_ability_possessed_curse"								"Curse"
		"DOTA_Tooltip_ability_possessed_curse_Description"					"Possessed Demon curses target, and after %run_duration% deal %penalty_damage_pct%%  damage from max health, and heal Possessed Demon if target is closer than %run_radius%% at start position. Also stuns cursed unit for %penalty_stun% seconds."
		"DOTA_Tooltip_modifier_possessed_curse_penalty"						"Curse Penalty"

		"DOTA_Tooltip_ability_possessed_hellshield"							"Hellshield"
		"DOTA_Tooltip_ability_possessed_hellshield_Description"				"At activation applies effect that return %return_damage%%  back to attacker and block %damage_reduction%%  damage for %duration% seconds."

		"DOTA_Tooltip_modifier_possessed_hellshield"						"Hellshield Damage Return"

		//Bane
		"DOTA_Tooltip_Ability_bane_brain_sap_damage_pct"					"%ALL STATS TO DMG"

		//Batraider
		"DOTA_Tooltip_Ability_batrider_flamebreak_damage_pct"				"%ALL STATS TO DMG"
		"DOTA_Tooltip_Ability_batrider_firefly_damage_pct"					"%ALL STATS TO DMG"

		//Bristleback
		"DOTA_Tooltip_Ability_bristleback_quill_spray_damage_pct"			"%STR TO DMG"

		//Crystal Maiden
		"DOTA_Tooltip_Ability_crystal_maiden_crystal_nova_damage_pct"		"%INT TO DMG"
		"DOTA_Tooltip_Ability_crystal_maiden_frostbite_damage_pct"			"%INT TO DMG"
		"DOTA_Tooltip_Ability_crystal_maiden_freezing_field_damage_pct"		"%INT TO DMG"

		//Doom
		"DOTA_Tooltip_Ability_doom_bringer_scorched_earth_damage_pct"		"%ALL STATS TO DMG"

		//Dragon Knight
		"DOTA_Tooltip_Ability_dragon_knight_fireball_damage_pct"			"%ALL STATS TO DMG"

		//Lich
        "DOTA_Tooltip_Ability_lich_chain_frost_damage_pct"                  "%INT TO DMG"

		//Lina
		"DOTA_Tooltip_Ability_lina_dragon_slave_frost_damage_pct"			"%INT TO DMG"
		"DOTA_Tooltip_Ability_lina_light_strike_array_frost_damage_pct"		"%INT TO DMG"
		"DOTA_Tooltip_Ability_lina_laguna_blade_frost_damage_pct"			"%INT TO DMG"
		"DOTA_Tooltip_Ability_lion_impale_damage_pct"						"%INT TO DMG"

		//Lion
		"DOTA_Tooltip_Ability_lion_finger_of_death_damage_pct"				"%INT TO DMG"
		"DOTA_Tooltip_Ability_lion_impale_damage_pct"						"%INT TO DMG"

		//Luna
		"DOTA_Tooltip_Ability_luna_lucent_beam_damage_pct"					"%AGI TO DMG"

		//Mirana
		"DOTA_Tooltip_Ability_mirana_arrow_damage_pct"						"%ALL STATS TO DMG"
		"DOTA_Tooltip_Ability_mirana_starfall_damage_pct"					"%ALL STATS TO DMG"

		//Necrolyte
		"DOTA_Tooltip_Ability_necrolyte_death_pulse_damage_pct"				"%INT TO DMG"

		//Nyx Assassin
		"DOTA_Tooltip_Ability_nyx_assassin_impale_damage_pct"				"%INT TO DMG"
		"DOTA_Tooltip_Ability_nyx_assassin_vendetta_damage_pct"				"%INT TO DMG"

		//Ogre Magi
		"DOTA_Tooltip_Ability_ogre_magi_fireblast_damage_pct"				"%STR TO DMG"
		"DOTA_Tooltip_Ability_ogre_magi_unrefined_fireblast_damage_pct"		"%STR TO DMG"
		"DOTA_Tooltip_Ability_ogre_magi_ignite_damage_pct"					"%STR TO DMG"

		//Omniknight
		"DOTA_Tooltip_Ability_omniknight_purification_damage_pct"			"%STR TO DMG"

		//Oracle	
		"DOTA_Tooltip_Ability_oracle_fortunes_end_damage_pct"				"%INT TO DMG"
		"DOTA_Tooltip_Ability_oracle_purifying_flames_damage_pct"			"%INT TO DMG"
		"DOTA_Tooltip_Ability_oracle_rain_of_destiny_damage_pct"			"%INT TO DMG"

		//Pangolier
		"DOTA_Tooltip_Ability_pangolier_swashbuckle_damage_pct"				"%ALL STATS TO DMG"
		"DOTA_Tooltip_Ability_pangolier_gyroshell_damage_pct"				"%ALL STATS TO DMG"

		//Phoenix
		"DOTA_Tooltip_Ability_phoenix_icarus_dive_damage_pct"				"%INT TO DMG"
		"DOTA_Tooltip_Ability_phoenix_fire_spirits_damage_pct"				"%INT TO DMG"
		"DOTA_Tooltip_Ability_phoenix_sun_ray_damage_pct"					"%INT TO DMG"
		"DOTA_Tooltip_Ability_phoenix_supernova_damage_pct"					"%INT TO DMG"
		"DOTA_Tooltip_Ability_phoenix_launch_fire_spirit_damage_pct"		"%INT TO DMG"

		//Pudge
		"DOTA_Tooltip_Ability_pudge_meat_hook_damage_pct"					"%STR TO DMG"
		"DOTA_Tooltip_Ability_pudge_rot_damage_pct"							"%STR TO DMG"

		//Pugna
		"DOTA_Tooltip_Ability_pugna_nether_blast_damage_pct"				"%INT TO DMG"
		"DOTA_Tooltip_Ability_pugna_life_drain_damage_pct"					"%INT TO DMG"

		//Queen of Pain
		"DOTA_Tooltip_Ability_queenofpain_shadow_strike_damage_pct"			"%INT TO DMG"
		"DOTA_Tooltip_Ability_queenofpain_scream_of_pain_damage_pct"		"%INT TO DMG"

		//Razor
		"DOTA_Tooltip_Ability_razor_plasma_field_damage_pct"				"%ALL STATS TO DMG"
		"DOTA_Tooltip_Ability_razor_unstable_current_damage_pct"			"%ALL STATS TO DMG"
		"DOTA_Tooltip_Ability_razor_eye_of_the_storm_damage_pct"			"%ALL STATS TO DMG"

		//Sand King
		"DOTA_Tooltip_Ability_sandking_epicenter_damage_pct"				"%STR TO DMG"
		"DOTA_Tooltip_Ability_sandking_sand_storm_damage_pct"				"%STR TO DMG"

		//Clockwerk
		"DOTA_Tooltip_Ability_rattletrap_battery_assault_damage_pct"		"%STR TO DMG"
		"DOTA_Tooltip_Ability_rattletrap_rocket_flare_damage_pct"			"%STR TO DMG"
		"DOTA_Tooltip_Ability_rattletrap_hookshot_damage_pct"				"%STR TO DMG"

		"DOTA_Tooltip_Ability_mars_spear_damage_pct"								"%STR TO DMG"
		"DOTA_Tooltip_Ability_legion_commander_overwhelming_odds_damage_pct"		"%STR TO DMG"

		"DOTA_Tooltip_Ability_zuus_heavenly_jump_damage_pct"			"%INT TO DMG"
		"DOTA_Tooltip_Ability_zuus_thundergods_wrath_damage_pct"			"%INT TO DMG"
		"DOTA_Tooltip_Ability_zuus_lightning_bolt_damage_pct"			"%INT TO DMG"
		"DOTA_Tooltip_Ability_witch_doctor_voodoo_restoration_damage_pct"			"%INT TO DMG"
		"DOTA_Tooltip_Ability_storm_spirit_overload_damage_pct"			"%INT TO DMG"
		"DOTA_Tooltip_Ability_storm_spirit_static_remnant_damage_pct"			"%INT TO DMG"
		"DOTA_Tooltip_Ability_leshrac_split_earth_damage_pct"			"%INT TO DMG"
		"DOTA_Tooltip_Ability_leshrac_diabolic_edict_damage_pct"			"%INT TO DMG"
		"DOTA_Tooltip_Ability_leshrac_lightning_storm_damage_pct"			"%INT TO DMG"
		"DOTA_Tooltip_Ability_leshrac_pulse_nova_damage_pct"			"%INT TO DMG"
		"DOTA_Tooltip_Ability_jakiro_liquid_fire_damage_pct"			"%INT TO DMG"
		"DOTA_Tooltip_Ability_jakiro_dual_breath_damage_pct"			"%INT TO DMG"
		"DOTA_Tooltip_Ability_jakiro_macropyre_damage_pct"			"%INT TO DMG"
		"DOTA_Tooltip_Ability_grimstroke_ink_creature_damage_pct"			"%INT TO DMG"
		"DOTA_Tooltip_Ability_grimstroke_spirit_walk_damage_pct"			"%INT TO DMG"
		"DOTA_Tooltip_Ability_grimstroke_dark_artistry_damage_pct"			"%INT TO DMG"
		
		"DOTA_Tooltip_Ability_nevermore_shadowraze1_damage_pct"				"%AGI TO DMG"
		"DOTA_Tooltip_Ability_nevermore_shadowraze2_damage_pct"				"%AGI TO DMG"
		"DOTA_Tooltip_Ability_nevermore_shadowraze3_damage_pct"				"%AGI TO DMG"
		"DOTA_Tooltip_Ability_juggernaut_blade_fury_damage_pct"				"%AGI TO DMG"

		"DOTA_Tooltip_Ability_viper_poison_attack_damage_pct"			"%ALL STATS TO DMG"
		"DOTA_Tooltip_Ability_viper_nethertoxin_damage_pct"				"%ALL STATS TO DMG"
		"DOTA_Tooltip_Ability_viper_corrosive_skin_damage_pct"			"%ALL STATS TO DMG"
		"DOTA_Tooltip_Ability_viper_viper_strike_damage_pct"			"%ALL STATS TO DMG"
		"DOTA_Tooltip_Ability_death_prophet_carrion_swarm_damage_pct"	"%ALL STATS TO DMG"
		"DOTA_Tooltip_Ability_death_prophet_exorcism_damage_pct"		"%ALL STATS TO DMG"

		"DOTA_Tooltip_ability_fervor_aa"								"Fervor"
